UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,Creator,Subjects,Publisher,PublicationYear
Digital,OverDrive,EBOOK,2015,2,41,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature, Science Fiction","Random House, Inc.",2011
Physical,Horizon,BOOK,2015,2,5,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Physical,Horizon,SOUNDDISC,2015,2,7,World War Z [sound recording] : [an oral history of the zombie war] / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Science fiction, Black humor Literature","Random House Audio : Books on Tape,",p2013.
Physical,Horizon,SOUNDDISC,2015,3,3,World War Z [sound recording] : [an oral history of the zombie war] / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Science fiction, Black humor Literature","Random House Audio : Books on Tape,",p2013.
Physical,Horizon,SOUNDDISC,2015,3,1,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Digital,OverDrive,EBOOK,2015,3,46,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature, Science Fiction","Random House, Inc.",2011
Digital,OverDrive,AUDIOBOOK,2015,3,4,World War Z: The Complete Edition (Movie Tie-in Edition): an Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2014
Digital,OverDrive,AUDIOBOOK,2015,3,26,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,VIDEODISC,2015,3,106,"World War Z [videorecording] / Paramount ; Skydance Productions ; Hemisphere ; GK Films ; a Plan B Entertainment/2Dux2 production ; produced by Brad Pitt, Dede Gardner, Jeremy Kleiner, Ian Bryce ; screen story by Matthew Michael Carnahan and J. Michael Straczynski ; screenplay by Matthew Michael Carnahan and Drew Goodard & Damon Lindelof ; directed by Marc Forster.",,"Zombies Drama, Feature films, Fiction films, Horror films, Disaster films, Action and adventure films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Paramount,",c2013.
Physical,Horizon,BOOK,2015,3,4,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Physical,Horizon,SOUNDDISC,2015,4,1,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Digital,OverDrive,AUDIOBOOK,2015,4,3,World War Z: The Complete Edition (Movie Tie-in Edition): an Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2014
Digital,OverDrive,EBOOK,2015,4,38,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature, Science Fiction","Random House, Inc.",2011
Digital,OverDrive,AUDIOBOOK,2015,4,16,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,VIDEODISC,2015,4,113,"World War Z [videorecording] / Paramount ; Skydance Productions ; Hemisphere ; GK Films ; a Plan B Entertainment/2Dux2 production ; produced by Brad Pitt, Dede Gardner, Jeremy Kleiner, Ian Bryce ; screen story by Matthew Michael Carnahan and J. Michael Straczynski ; screenplay by Matthew Michael Carnahan and Drew Goodard & Damon Lindelof ; directed by Marc Forster.",,"Zombies Drama, Feature films, Fiction films, Horror films, Disaster films, Action and adventure films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Paramount,",c2013.
Physical,Horizon,BOOK,2015,4,7,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Physical,Horizon,SOUNDDISC,2015,5,5,World War Z [sound recording] : [an oral history of the zombie war] / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Science fiction, Black humor Literature","Random House Audio : Books on Tape,",p2013.
Digital,OverDrive,AUDIOBOOK,2015,5,3,World War Z: The Complete Edition (Movie Tie-in Edition): an Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2014
Physical,Horizon,BOOK,2015,5,4,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Digital,OverDrive,EBOOK,2015,5,47,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature, Science Fiction","Random House, Inc.",2011
Physical,Horizon,VIDEODISC,2015,5,80,"World War Z [videorecording] / Paramount ; Skydance Productions ; Hemisphere ; GK Films ; a Plan B Entertainment/2Dux2 production ; produced by Brad Pitt, Dede Gardner, Jeremy Kleiner, Ian Bryce ; screen story by Matthew Michael Carnahan and J. Michael Straczynski ; screenplay by Matthew Michael Carnahan and Drew Goodard & Damon Lindelof ; directed by Marc Forster.",,"Zombies Drama, Feature films, Fiction films, Horror films, Disaster films, Action and adventure films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Paramount,",c2013.
Digital,OverDrive,AUDIOBOOK,2015,5,17,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Digital,OverDrive,EBOOK,2015,6,42,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature, Science Fiction","Random House, Inc.",2011
Physical,Horizon,SOUNDDISC,2015,6,3,World War Z [sound recording] : [an oral history of the zombie war] / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Science fiction, Black humor Literature","Random House Audio : Books on Tape,",p2013.
Digital,OverDrive,AUDIOBOOK,2015,6,4,World War Z: The Complete Edition (Movie Tie-in Edition): an Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2014
Physical,Horizon,BOOK,2015,6,2,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Digital,OverDrive,AUDIOBOOK,2015,6,22,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,SOUNDDISC,2015,6,2,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Physical,Horizon,VIDEODISC,2015,6,61,"World War Z [videorecording] / Paramount ; Skydance Productions ; Hemisphere ; GK Films ; a Plan B Entertainment/2Dux2 production ; produced by Brad Pitt, Dede Gardner, Jeremy Kleiner, Ian Bryce ; screen story by Matthew Michael Carnahan and J. Michael Straczynski ; screenplay by Matthew Michael Carnahan and Drew Goodard & Damon Lindelof ; directed by Marc Forster.",,"Zombies Drama, Feature films, Fiction films, Horror films, Disaster films, Action and adventure films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Paramount,",c2013.
Physical,Horizon,BOOK,2015,7,2,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Physical,Horizon,SOUNDDISC,2015,7,1,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Physical,Horizon,SOUNDDISC,2015,7,2,World War Z [sound recording] : [an oral history of the zombie war] / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Science fiction, Black humor Literature","Random House Audio : Books on Tape,",p2013.
Physical,Horizon,VIDEODISC,2015,7,72,"World War Z [videorecording] / Paramount ; Skydance Productions ; Hemisphere ; GK Films ; a Plan B Entertainment/2Dux2 production ; produced by Brad Pitt, Dede Gardner, Jeremy Kleiner, Ian Bryce ; screen story by Matthew Michael Carnahan and J. Michael Straczynski ; screenplay by Matthew Michael Carnahan and Drew Goodard & Damon Lindelof ; directed by Marc Forster.",,"Zombies Drama, Feature films, Fiction films, Horror films, Disaster films, Action and adventure films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Paramount,",c2013.
Digital,OverDrive,AUDIOBOOK,2015,7,3,World War Z: The Complete Edition (Movie Tie-in Edition): an Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2014
Digital,OverDrive,AUDIOBOOK,2015,7,25,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Digital,OverDrive,EBOOK,2015,7,53,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature, Science Fiction","Random House, Inc.",2011
Digital,OverDrive,EBOOK,2015,8,43,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature, Science Fiction","Random House, Inc.",2011
Physical,Horizon,VIDEODISC,2015,8,72,"World War Z [videorecording] / Paramount ; Skydance Productions ; Hemisphere ; GK Films ; a Plan B Entertainment/2Dux2 production ; produced by Brad Pitt, Dede Gardner, Jeremy Kleiner, Ian Bryce ; screen story by Matthew Michael Carnahan and J. Michael Straczynski ; screenplay by Matthew Michael Carnahan and Drew Goodard & Damon Lindelof ; directed by Marc Forster.",,"Zombies Drama, Feature films, Fiction films, Horror films, Disaster films, Action and adventure films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Paramount,",c2013.
Physical,Horizon,SOUNDDISC,2015,8,2,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Physical,Horizon,BOOK,2015,8,4,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Digital,OverDrive,AUDIOBOOK,2015,8,27,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Digital,OverDrive,AUDIOBOOK,2015,8,6,World War Z: The Complete Edition (Movie Tie-in Edition): an Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2014
Physical,Horizon,SOUNDDISC,2015,8,5,World War Z [sound recording] : [an oral history of the zombie war] / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Science fiction, Black humor Literature","Random House Audio : Books on Tape,",p2013.
Physical,Horizon,SOUNDDISC,2015,9,5,World War Z [sound recording] : [an oral history of the zombie war] / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Science fiction, Black humor Literature","Random House Audio : Books on Tape,",p2013.
Digital,OverDrive,AUDIOBOOK,2015,9,22,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,VIDEODISC,2015,9,63,"World War Z [videorecording] / Paramount ; Skydance Productions ; Hemisphere ; GK Films ; a Plan B Entertainment/2Dux2 production ; produced by Brad Pitt, Dede Gardner, Jeremy Kleiner, Ian Bryce ; screen story by Matthew Michael Carnahan and J. Michael Straczynski ; screenplay by Matthew Michael Carnahan and Drew Goodard & Damon Lindelof ; directed by Marc Forster.",,"Zombies Drama, Feature films, Fiction films, Horror films, Disaster films, Action and adventure films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Paramount,",c2013.
Digital,OverDrive,AUDIOBOOK,2015,9,2,World War Z: The Complete Edition (Movie Tie-in Edition): an Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2014
Digital,OverDrive,EBOOK,2015,9,39,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature, Science Fiction","Random House, Inc.",2011
Physical,Horizon,BOOK,2015,9,4,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Physical,Horizon,SOUNDDISC,2015,10,2,World War Z [sound recording] : [an oral history of the zombie war] / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Science fiction, Black humor Literature","Random House Audio : Books on Tape,",p2013.
Digital,OverDrive,AUDIOBOOK,2015,10,22,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Digital,OverDrive,AUDIOBOOK,2015,10,4,World War Z: The Complete Edition (Movie Tie-in Edition): an Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2014
Physical,Horizon,VIDEODISC,2015,10,57,"World War Z [videorecording] / Paramount ; Skydance Productions ; Hemisphere ; GK Films ; a Plan B Entertainment/2Dux2 production ; produced by Brad Pitt, Dede Gardner, Jeremy Kleiner, Ian Bryce ; screen story by Matthew Michael Carnahan and J. Michael Straczynski ; screenplay by Matthew Michael Carnahan and Drew Goodard & Damon Lindelof ; directed by Marc Forster.",,"Zombies Drama, Feature films, Fiction films, Horror films, Disaster films, Action and adventure films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Paramount,",c2013.
Digital,OverDrive,EBOOK,2015,10,36,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature, Science Fiction","Random House, Inc.",2011
Physical,Horizon,BOOK,2015,10,2,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Digital,OverDrive,EBOOK,2015,11,41,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature, Science Fiction","Random House, Inc.",2011
Physical,Horizon,SOUNDDISC,2015,11,3,World War Z [sound recording] : [an oral history of the zombie war] / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Science fiction, Black humor Literature","Random House Audio : Books on Tape,",p2013.
Digital,OverDrive,AUDIOBOOK,2015,11,1,World War Z: The Complete Edition (Movie Tie-in Edition): an Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2014
Physical,Horizon,BOOK,2015,11,3,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Digital,OverDrive,AUDIOBOOK,2015,11,13,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,VIDEODISC,2015,11,63,"World War Z [videorecording] / Paramount ; Skydance Productions ; Hemisphere ; GK Films ; a Plan B Entertainment/2Dux2 production ; produced by Brad Pitt, Dede Gardner, Jeremy Kleiner, Ian Bryce ; screen story by Matthew Michael Carnahan and J. Michael Straczynski ; screenplay by Matthew Michael Carnahan and Drew Goodard & Damon Lindelof ; directed by Marc Forster.",,"Zombies Drama, Feature films, Fiction films, Horror films, Disaster films, Action and adventure films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Paramount,",c2013.
Physical,Horizon,VIDEODISC,2015,12,62,"World War Z [videorecording] / Paramount ; Skydance Productions ; Hemisphere ; GK Films ; a Plan B Entertainment/2Dux2 production ; produced by Brad Pitt, Dede Gardner, Jeremy Kleiner, Ian Bryce ; screen story by Matthew Michael Carnahan and J. Michael Straczynski ; screenplay by Matthew Michael Carnahan and Drew Goodard & Damon Lindelof ; directed by Marc Forster.",,"Zombies Drama, Feature films, Fiction films, Horror films, Disaster films, Action and adventure films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Paramount,",c2013.
Digital,OverDrive,EBOOK,2015,12,29,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature, Science Fiction","Random House, Inc.",2011
Physical,Horizon,SOUNDDISC,2015,12,1,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Physical,Horizon,SOUNDDISC,2015,12,3,World War Z [sound recording] : [an oral history of the zombie war] / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Science fiction, Black humor Literature","Random House Audio : Books on Tape,",p2013.
Digital,OverDrive,AUDIOBOOK,2015,12,25,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Digital,OverDrive,AUDIOBOOK,2015,12,7,World War Z: The Complete Edition (Movie Tie-in Edition): an Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2014
Physical,Horizon,BOOK,2015,12,6,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Physical,Horizon,SOUNDDISC,2016,1,2,World War Z [sound recording] : [an oral history of the zombie war] / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Science fiction, Black humor Literature","Random House Audio : Books on Tape,",p2013.
Physical,Horizon,BOOK,2016,1,1,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Physical,Horizon,VIDEODISC,2016,1,49,"World War Z [videorecording] / Paramount ; Skydance Productions ; Hemisphere ; GK Films ; a Plan B Entertainment/2Dux2 production ; produced by Brad Pitt, Dede Gardner, Jeremy Kleiner, Ian Bryce ; screen story by Matthew Michael Carnahan and J. Michael Straczynski ; screenplay by Matthew Michael Carnahan and Drew Goodard & Damon Lindelof ; directed by Marc Forster.",,"Zombies Drama, Feature films, Fiction films, Horror films, Disaster films, Action and adventure films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Paramount,",c2013.
Digital,OverDrive,EBOOK,2016,1,18,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature","Random House, Inc.",2011
Digital,OverDrive,AUDIOBOOK,2016,1,2,World War Z: The Complete Edition (Movie Tie-in Edition): an Oral History of the Zombie War (abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2014
Digital,OverDrive,AUDIOBOOK,2016,1,16,World War Z: An Oral History of the Zombie War (abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,SOUNDDISC,2016,1,1,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Digital,OverDrive,AUDIOBOOK,2016,2,1,World War Z: The Complete Edition (Movie Tie-in Edition): an Oral History of the Zombie War (abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2014
Digital,OverDrive,AUDIOBOOK,2016,2,7,World War Z: An Oral History of the Zombie War (abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,BOOK,2016,2,1,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Digital,OverDrive,EBOOK,2016,2,18,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature","Random House, Inc.",2011
Physical,Horizon,SOUNDDISC,2016,2,1,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Physical,Horizon,VIDEODISC,2016,2,38,"World War Z [videorecording] / Paramount ; Skydance Productions ; Hemisphere ; GK Films ; a Plan B Entertainment/2Dux2 production ; produced by Brad Pitt, Dede Gardner, Jeremy Kleiner, Ian Bryce ; screen story by Matthew Michael Carnahan and J. Michael Straczynski ; screenplay by Matthew Michael Carnahan and Drew Goodard & Damon Lindelof ; directed by Marc Forster.",,"Zombies Drama, Feature films, Fiction films, Horror films, Disaster films, Action and adventure films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Paramount,",c2013.
Digital,OverDrive,AUDIOBOOK,2016,3,3,World War Z: The Complete Edition (Movie Tie-in Edition): an Oral History of the Zombie War (abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2014
Digital,OverDrive,EBOOK,2016,3,25,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature","Random House, Inc.",2011
Physical,Horizon,SOUNDDISC,2016,3,4,World War Z [sound recording] : [an oral history of the zombie war] / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Science fiction, Black humor Literature","Random House Audio : Books on Tape,",p2013.
Physical,Horizon,VIDEODISC,2016,3,36,"World War Z [videorecording] / Paramount ; Skydance Productions ; Hemisphere ; GK Films ; a Plan B Entertainment/2Dux2 production ; produced by Brad Pitt, Dede Gardner, Jeremy Kleiner, Ian Bryce ; screen story by Matthew Michael Carnahan and J. Michael Straczynski ; screenplay by Matthew Michael Carnahan and Drew Goodard & Damon Lindelof ; directed by Marc Forster.",,"Zombies Drama, Feature films, Fiction films, Horror films, Disaster films, Action and adventure films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Paramount,",c2013.
Physical,Horizon,BOOK,2016,3,10,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Physical,Horizon,SOUNDDISC,2016,3,1,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Digital,OverDrive,AUDIOBOOK,2016,3,21,World War Z: An Oral History of the Zombie War (abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,SOUNDDISC,2016,4,2,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Digital,OverDrive,EBOOK,2016,4,36,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature","Random House, Inc.",2011
Digital,OverDrive,AUDIOBOOK,2016,4,13,World War Z: An Oral History of the Zombie War (abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,SOUNDDISC,2016,4,7,World War Z [sound recording] : [an oral history of the zombie war] / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Science fiction, Black humor Literature","Random House Audio : Books on Tape,",p2013.
Digital,OverDrive,AUDIOBOOK,2016,4,2,World War Z: The Complete Edition (Movie Tie-in Edition): an Oral History of the Zombie War (abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2014
Physical,Horizon,VIDEODISC,2016,4,34,"World War Z [videorecording] / Paramount ; Skydance Productions ; Hemisphere ; GK Films ; a Plan B Entertainment/2Dux2 production ; produced by Brad Pitt, Dede Gardner, Jeremy Kleiner, Ian Bryce ; screen story by Matthew Michael Carnahan and J. Michael Straczynski ; screenplay by Matthew Michael Carnahan and Drew Goodard & Damon Lindelof ; directed by Marc Forster.",,"Zombies Drama, Feature films, Fiction films, Horror films, Disaster films, Action and adventure films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Paramount,",c2013.
Physical,Horizon,BOOK,2016,4,9,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Physical,Horizon,SOUNDDISC,2016,5,3,World War Z [sound recording] : [an oral history of the zombie war] / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Science fiction, Black humor Literature","Random House Audio : Books on Tape,",p2013.
Digital,OverDrive,AUDIOBOOK,2016,5,11,World War Z: An Oral History of the Zombie War (abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Digital,OverDrive,AUDIOBOOK,2016,5,6,World War Z: The Complete Edition (Movie Tie-in Edition): an Oral History of the Zombie War (abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2014
Digital,OverDrive,EBOOK,2016,5,24,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature","Random House, Inc.",2011
Physical,Horizon,BOOK,2016,5,4,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Physical,Horizon,SOUNDDISC,2016,5,1,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Physical,Horizon,VIDEODISC,2016,5,27,"World War Z [videorecording] / Paramount ; Skydance Productions ; Hemisphere ; GK Films ; a Plan B Entertainment/2Dux2 production ; produced by Brad Pitt, Dede Gardner, Jeremy Kleiner, Ian Bryce ; screen story by Matthew Michael Carnahan and J. Michael Straczynski ; screenplay by Matthew Michael Carnahan and Drew Goodard & Damon Lindelof ; directed by Marc Forster.",,"Zombies Drama, Feature films, Fiction films, Horror films, Disaster films, Action and adventure films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Paramount,",c2013.
Physical,Horizon,SOUNDDISC,2016,6,1,World War Z [sound recording] : [an oral history of the zombie war] / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Science fiction, Black humor Literature","Random House Audio : Books on Tape,",p2013.
Digital,OverDrive,EBOOK,2016,6,45,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature","Random House, Inc.",2011
Physical,Horizon,BOOK,2016,6,8,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Physical,Horizon,VIDEODISC,2016,6,22,"World War Z [videorecording] / Paramount ; Skydance Productions ; Hemisphere ; GK Films ; a Plan B Entertainment/2Dux2 production ; produced by Brad Pitt, Dede Gardner, Jeremy Kleiner, Ian Bryce ; screen story by Matthew Michael Carnahan and J. Michael Straczynski ; screenplay by Matthew Michael Carnahan and Drew Goodard & Damon Lindelof ; directed by Marc Forster.",,"Zombies Drama, Feature films, Fiction films, Horror films, Disaster films, Action and adventure films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Paramount,",c2013.
Digital,OverDrive,AUDIOBOOK,2016,6,3,World War Z: The Complete Edition (Movie Tie-in Edition): an Oral History of the Zombie War (abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2014
Digital,OverDrive,AUDIOBOOK,2016,6,14,World War Z: An Oral History of the Zombie War (abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,SOUNDDISC,2016,6,3,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Physical,Horizon,SOUNDDISC,2016,7,3,World War Z [sound recording] : [an oral history of the zombie war] / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Science fiction, Black humor Literature","Random House Audio : Books on Tape,",p2013.
Digital,OverDrive,AUDIOBOOK,2016,7,16,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Digital,OverDrive,EBOOK,2016,7,28,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature","Random House, Inc.",2011
